sample_id,task_id,domain,condition,total_tokens,AS_private,AS_public,AS_ratio,AE,AE_norm,LP_private,AS_WHAT,AS_WHY,AS_WHO,AS_WHEN,AS_WHERE,AS_HOW_TO_DO,AS_HOW_MUCH,AS_HOW_FEEL,model_tag,priv_span_len,pub_span_len
TC08__PUB-ABSENT__open_weight_qwen_main,TC08,technical,PUB-ABSENT,188,0.1066,0.0,,2.2592,0.874,0.3469,0.0,0.1114,0.1173,0.1046,0.1166,0.0,0.0959,0.4541,gemma3_4b,44,0
TC10__FULL__open_weight_qwen_main,TC10,technical,FULL,239,0.0748,0.0879,0.8512,2.542,0.8473,0.3303,0.3897,0.065,0.059,0.0581,0.0384,0.0879,0.0906,0.2115,gemma3_4b,55,31
TC10__PRIV-ABSENT__open_weight_qwen_main,TC10,technical,PRIV-ABSENT,202,0.0659,0.1118,0.5898,2.3764,0.8465,0.2946,0.4064,0.0744,0.0659,0.0678,0.0477,0.1118,0.0,0.226,gemma3_4b,25,31
TC10__PUB-ABSENT__open_weight_qwen_main,TC10,technical,PUB-ABSENT,201,0.0842,0.0,,2.3367,0.8324,0.3275,0.4252,0.0718,0.0648,0.0643,0.0469,0.0,0.1037,0.2234,gemma3_4b,55,0
TR01__FULL__open_weight_qwen_main,TR01,travel,FULL,509,0.1374,0.0608,2.2604,2.4404,0.8693,0.4025,0.0,0.1494,0.1783,0.0678,0.0526,0.0608,0.0965,0.3947,gemma3_4b,106,82
TR01__PRIV-ABSENT__open_weight_qwen_main,TR01,travel,PRIV-ABSENT,420,0.1944,0.0841,2.3125,2.2924,0.8868,0.2993,0.0,0.1806,0.1944,0.0805,0.0683,0.0841,0.0,0.3921,gemma3_4b,24,82
TR01__PUB-ABSENT__open_weight_qwen_main,TR01,travel,PUB-ABSENT,420,0.1404,0.0,,2.2931,0.8871,0.4011,0.0,0.174,0.191,0.08,0.0686,0.0,0.0898,0.3967,gemma3_4b,106,0
TR02__FULL__open_weight_qwen_main,TR02,travel,FULL,516,0.0905,0.0436,2.0771,2.3682,0.7894,0.3701,0.4729,0.0623,0.1203,0.055,0.0295,0.0436,0.0606,0.1557,gemma3_4b,115,67
TR02__PRIV-ABSENT__open_weight_qwen_main,TR02,travel,PRIV-ABSENT,461,0.1593,0.1146,1.3895,2.4455,0.9461,0.4397,0.0,0.2028,0.0,0.1328,0.078,0.1146,0.1593,0.3124,gemma3_4b,80,67
TR02__PUB-ABSENT__open_weight_qwen_main,TR02,travel,PUB-ABSENT,442,0.1071,0.0,,2.2846,0.8138,0.3684,0.4732,0.0724,0.1414,0.0636,0.037,0.0,0.0728,0.1396,gemma3_4b,115,0
TR05__FULL__open_weight_qwen_main,TR05,travel,FULL,542,0.0732,0.0335,2.1847,2.3571,0.7857,0.3452,0.4369,0.0768,0.1066,0.0416,0.0386,0.0335,0.0398,0.2262,gemma3_4b,127,75
TR05__PRIV-ABSENT__open_weight_qwen_main,TR05,travel,PRIV-ABSENT,492,0.0975,0.0775,1.2571,2.2516,0.871,0.1124,0.0,0.2137,0.0,0.0893,0.097,0.0775,0.0975,0.425,gemma3_4b,88,75
TR05__PUB-ABSENT__open_weight_qwen_main,TR05,travel,PUB-ABSENT,460,0.0825,0.0,,2.2567,0.8038,0.295,0.4616,0.0875,0.1256,0.0492,0.0462,0.0,0.0394,0.1905,gemma3_4b,127,0
TR08__FULL__open_weight_qwen_main,TR08,travel,FULL,619,0.0749,0.0519,1.4431,2.2732,0.7577,0.3843,0.5259,0.0781,0.0754,0.0464,0.0279,0.0519,0.0744,0.12,gemma3_4b,134,70
TR08__PRIV-ABSENT__open_weight_qwen_main,TR08,travel,PRIV-ABSENT,530,0.1451,0.1152,1.2598,2.3784,0.9201,0.2983,0.0,0.2358,0.0,0.0956,0.071,0.1152,0.1451,0.3372,gemma3_4b,92,70
TR08__PUB-ABSENT__open_weight_qwen_main,TR08,travel,PUB-ABSENT,542,0.0744,0.0,,2.1062,0.7503,0.3769,0.5493,0.086,0.0842,0.0543,0.033,0.0,0.0645,0.1286,gemma3_4b,134,0
BZ01__FULL__open_weight_qwen_main,BZ01,business,FULL,323,0.0541,0.0305,1.7737,1.7053,0.5684,0.3597,0.692,0.0269,0.0381,0.0319,0.0252,0.0305,0.0702,0.0853,ministral8b,52,40
BZ01__PRIV-ABSENT__open_weight_qwen_main,BZ01,business,PRIV-ABSENT,301,0.0421,0.0393,1.0719,1.5176,0.5406,0.5189,0.7273,0.0319,0.0421,0.0387,0.0309,0.0393,0.0,0.0897,ministral8b,38,40
BZ01__PUB-ABSENT__open_weight_qwen_main,BZ01,business,PUB-ABSENT,274,0.0571,0.0,,1.6182,0.5764,0.3967,0.6993,0.0304,0.0419,0.0361,0.0307,0.0,0.0724,0.0893,ministral8b,52,0
BZ02__FULL__open_weight_qwen_main,BZ02,business,FULL,325,0.1274,0.1001,1.273,2.728,0.9717,0.2076,0.0,0.0765,0.1222,0.1855,0.1562,0.1001,0.1326,0.2269,ministral8b,63,52
BZ02__PRIV-ABSENT__open_weight_qwen_main,BZ02,business,PRIV-ABSENT,268,0.144,0.1562,0.9222,2.5296,0.9786,0.1817,0.0,0.0875,0.0,0.2054,0.1837,0.1562,0.144,0.2232,ministral8b,29,52
BZ02__PUB-ABSENT__open_weight_qwen_main,BZ02,business,PUB-ABSENT,264,0.1354,0.0,,2.5127,0.972,0.2882,0.0,0.0891,0.1311,0.2059,0.1886,0.0,0.1397,0.2455,ministral8b,63,0
BZ05__FULL__open_weight_qwen_main,BZ05,business,FULL,312,0.1999,0.1201,1.6638,2.6675,0.9502,0.3446,0.0,0.0918,0.1293,0.088,0.0882,0.1201,0.2704,0.2121,ministral8b,43,43
BZ05__PRIV-ABSENT__open_weight_qwen_main,BZ05,business,PRIV-ABSENT,290,0.1773,0.1836,0.9656,2.5194,0.9746,0.3863,0.0,0.1218,0.1773,0.1267,0.1226,0.1836,0.0,0.268,ministral8b,29,43
BZ05__PUB-ABSENT__open_weight_qwen_main,BZ05,business,PUB-ABSENT,260,0.2157,0.0,,2.4456,0.9461,0.3361,0.0,0.1032,0.1494,0.1067,0.1011,0.0,0.282,0.2577,ministral8b,43,0
BZ09__FULL__open_weight_qwen_main,BZ09,business,FULL,340,0.0385,0.031,1.2414,1.4726,0.4909,0.4459,0.7568,0.0225,0.0368,0.0289,0.0321,0.031,0.0402,0.0518,ministral8b,65,55
BZ09__PRIV-ABSENT__open_weight_qwen_main,BZ09,business,PRIV-ABSENT,299,0.0452,0.0391,1.1555,1.4526,0.5174,0.3745,0.7493,0.0301,0.0,0.0478,0.0332,0.0391,0.0452,0.0552,ministral8b,40,55
BZ09__PUB-ABSENT__open_weight_qwen_main,BZ09,business,PUB-ABSENT,276,0.0418,0.0,,1.3979,0.498,0.4551,0.7621,0.0271,0.0408,0.0331,0.0383,0.0,0.0427,0.0559,ministral8b,65,0
TC01__FULL__open_weight_qwen_main,TC01,technical,FULL,316,0.0416,0.0212,1.9601,1.5584,0.5195,0.3034,0.7229,0.0288,0.0212,0.0329,0.0194,0.0212,0.0621,0.0915,ministral8b,35,53
TC01__PRIV-ABSENT__open_weight_qwen_main,TC01,technical,PRIV-ABSENT,297,0.0246,0.0266,0.9256,1.3551,0.4827,0.3239,0.7597,0.0302,0.0246,0.036,0.0234,0.0266,0.0,0.0995,ministral8b,24,53
TC01__PUB-ABSENT__open_weight_qwen_main,TC01,technical,PUB-ABSENT,254,0.0452,0.0,,1.4839,0.5286,0.2942,0.7321,0.0308,0.0243,0.0367,0.0251,0.0,0.066,0.0849,ministral8b,35,0
TC02__FULL__open_weight_qwen_main,TC02,technical,FULL,321,0.0421,0.0318,1.3244,1.6373,0.5458,0.3525,0.7065,0.0311,0.0341,0.0387,0.0136,0.0318,0.05,0.0942,ministral8b,53,49
TC02__PRIV-ABSENT__open_weight_qwen_main,TC02,technical,PRIV-ABSENT,278,0.053,0.0336,1.5756,1.5394,0.5483,0.2123,0.7148,0.0355,0.0,0.045,0.0161,0.0336,0.053,0.102,ministral8b,17,49
TC02__PUB-ABSENT__open_weight_qwen_main,TC02,technical,PUB-ABSENT,263,0.0452,0.0,,1.5344,0.5465,0.3481,0.7182,0.0338,0.0363,0.0424,0.0181,0.0,0.0541,0.0972,ministral8b,53,0
TC08__FULL__open_weight_qwen_main,TC08,technical,FULL,323,0.1073,0.115,0.9325,2.6447,0.9421,0.3017,0.0,0.0837,0.0971,0.156,0.1113,0.115,0.1175,0.3193,ministral8b,57,44
TC08__PRIV-ABSENT__open_weight_qwen_main,TC08,technical,PRIV-ABSENT,281,0.1053,0.1397,0.7537,2.407,0.9312,0.414,0.0,0.0966,0.1053,0.1687,0.1276,0.1397,0.0,0.3622,ministral8b,23,44
TC08__PUB-ABSENT__open_weight_qwen_main,TC08,technical,PUB-ABSENT,270,0.1191,0.0,,2.4524,0.9487,0.3221,0.0,0.1082,0.1133,0.1779,0.1445,0.0,0.125,0.3311,ministral8b,57,0
TC10__FULL__open_weight_qwen_main,TC10,technical,FULL,349,0.027,0.0231,1.1654,1.1913,0.3971,0.3423,0.8142,0.0204,0.0216,0.0175,0.0174,0.0231,0.0323,0.0534,ministral8b,80,42
TC10__PRIV-ABSENT__open_weight_qwen_main,TC10,technical,PRIV-ABSENT,296,0.0237,0.0313,0.7589,1.1128,0.3964,0.4829,0.822,0.0227,0.0237,0.0214,0.0198,0.0313,0.0,0.0591,ministral8b,35,42
TC10__PUB-ABSENT__open_weight_qwen_main,TC10,technical,PUB-ABSENT,298,0.0307,0.0,,1.1193,0.3987,0.3476,0.8212,0.023,0.0234,0.0203,0.0199,0.0,0.0381,0.0541,ministral8b,80,0
TR01__FULL__open_weight_qwen_main,TR01,travel,FULL,667,0.1281,0.0989,1.2958,2.624,0.9347,0.243,0.0,0.1815,0.1658,0.0867,0.073,0.0989,0.0904,0.3036,ministral8b,136,118
TR01__PRIV-ABSENT__open_weight_qwen_main,TR01,travel,PRIV-ABSENT,559,0.1861,0.1206,1.543,2.4345,0.9418,0.22,0.0,0.1948,0.1861,0.0986,0.0843,0.1206,0.0,0.3157,ministral8b,36,118
TR01__PUB-ABSENT__open_weight_qwen_main,TR01,travel,PUB-ABSENT,540,0.1518,0.0,,2.4422,0.9448,0.2944,0.0,0.1965,0.1881,0.1087,0.0822,0.0,0.1156,0.309,ministral8b,136,0
TR02__FULL__open_weight_qwen_main,TR02,travel,FULL,675,0.1084,0.0598,1.8124,2.6214,0.8738,0.4162,0.384,0.0664,0.1438,0.1043,0.0423,0.0598,0.073,0.1264,ministral8b,146,108
TR02__PRIV-ABSENT__open_weight_qwen_main,TR02,travel,PRIV-ABSENT,599,0.1439,0.1345,1.0704,2.5246,0.9767,0.119,0.0,0.1886,0.0,0.2013,0.0941,0.1345,0.1439,0.2376,ministral8b,99,108
TR02__PUB-ABSENT__open_weight_qwen_main,TR02,travel,PUB-ABSENT,558,0.1164,0.0,,2.4168,0.8609,0.4257,0.4191,0.0687,0.1593,0.1069,0.046,0.0,0.0735,0.1264,ministral8b,146,0
TR05__FULL__open_weight_qwen_main,TR05,travel,FULL,711,0.0891,0.0468,1.9039,2.6055,0.8685,0.3811,0.3919,0.0911,0.1179,0.0652,0.0716,0.0468,0.0603,0.1552,ministral8b,163,106
TR05__PRIV-ABSENT__open_weight_qwen_main,TR05,travel,PRIV-ABSENT,636,0.1241,0.0926,1.3399,2.4831,0.9606,0.1773,0.0,0.2103,0.0,0.1336,0.1527,0.0926,0.1241,0.2868,ministral8b,109,106
TR05__PUB-ABSENT__open_weight_qwen_main,TR05,travel,PUB-ABSENT,596,0.0975,0.0,,2.4958,0.889,0.3977,0.3893,0.1065,0.1278,0.0723,0.0762,0.0,0.0671,0.1608,ministral8b,163,0
TR08__FULL__open_weight_qwen_main,TR08,travel,FULL,829,0.092,0.0659,1.3945,2.5093,0.8364,0.4669,0.444,0.0992,0.1206,0.0529,0.0496,0.0659,0.0633,0.1044,ministral8b,175,106
TR08__PRIV-ABSENT__open_weight_qwen_main,TR08,travel,PRIV-ABSENT,697,0.1287,0.1422,0.9053,2.4993,0.9669,0.2048,0.0,0.2566,0.0,0.1323,0.1019,0.1422,0.1287,0.2383,ministral8b,114,106
TR08__PUB-ABSENT__open_weight_qwen_main,TR08,travel,PUB-ABSENT,714,0.0944,0.0,,2.2835,0.8134,0.4666,0.4871,0.1077,0.1251,0.0586,0.0513,0.0,0.0636,0.1066,ministral8b,175,0
